id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.related.href,relationships.node.links.self.href,relationships.node.data.id,relationships.node.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,links.self,links.html,links.preprint_doi,links.doi
9zaje,preprints,2016-08-10T11:32:20.353000,2018-07-02T10:47:34.679948,2016-08-10T11:32:20.353000,NA,NA,Rhythmical coordination of performers and audience in partner dance: delineating improvised and choreographed interaction,"This paper explores rhythm in social interaction by analysing how partner
dancers and audience members move together during a performance. The
analysis draws an empirical distinction between choreographed and
improvised movements by tracking the ways participants deal with variations
in the projectability and contingencies of upcoming movements. A detailed
specification of temporal patterns and relationships between rhythms shows
how different rhythms are used as interactional resources. Systematic
disruptions to their rhythmical clapping shows how audience members work
with dancers to sustain the accountability and relevance of mutual
coordination. This reveals how dancers initiate, sustain and complete
distinct phases of spontaneous movement as embodied social action.",TRUE,FALSE,Aesthetics|Audience|Choreography|Conversation Analysis|Dance|Ethnomethodology|Improvisation|Interaction|Preprint|Rhythm|socarxiv,2018-07-02T10:47:34.672307,NA,,TRUE,accepted,2016-08-10T11:32:20.353000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/9zaje/contributors/,https://api.osf.io/v2/preprints/9zaje/bibliographic_contributors/,https://api.osf.io/v2/preprints/9zaje/citation/,9zaje,preprints,https://api.osf.io/v2/preprints/9zaje/identifiers/,https://api.osf.io/v2/nodes/h8hhx/,https://api.osf.io/v2/preprints/9zaje/relationships/node/,h8hhx,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/9zaje/files/,https://api.osf.io/v2/files/57ab10cb594d9001f691413f/,57ab10cb594d9001f691413f,files,https://api.osf.io/v2/preprints/9zaje/review_actions/,https://api.osf.io/v2/preprints/9zaje/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/9zaje/,https://osf.io/preprints/socarxiv/9zaje/,https://doi.org/10.31235/osf.io/9zaje,NA
b7kxa,preprints,2016-08-09T20:52:49.222000,2018-07-02T10:48:23.549125,2016-08-09T20:52:49.222000,NA,NA,The Doctrinal Structure of Patent Law's Enablement Requirement,"This Essay examines the formal law of enablement, focusing on a perceived split in the enablement doctrine: whether disclosure of a single mode of an invention is necessarily sufficient to satisfy the requirement of enablement or whether the full scope of the claim must be enabled. In examining this split, this Essay articulates the enablement inquiry in conceptual terms, identifying two elements of the courts' analyses that are implicit in every enablement determination: the nature of enablement disputes as challenges and the articulation of a target or targets that must be enabled.  With this understanding in mind, the ""full scope"" and ""any mode"" language are easily reconciled: for any given target, one mode suffices.  But each and every target must be enabled.  More broadly, recognizing the process of target articulation implicit in every enablement inquiry leads to a conceptually simpler, and more generalizeable, understanding of how the requirement operates in practice.",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:48:23.528169,NA,,TRUE,accepted,2016-08-09T20:52:49.222000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/b7kxa/contributors/,https://api.osf.io/v2/preprints/b7kxa/bibliographic_contributors/,https://api.osf.io/v2/preprints/b7kxa/citation/,b7kxa,preprints,https://api.osf.io/v2/preprints/b7kxa/identifiers/,https://api.osf.io/v2/nodes/78b7x/,https://api.osf.io/v2/preprints/b7kxa/relationships/node/,78b7x,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/b7kxa/files/,https://api.osf.io/v2/files/57aa42a2594d9001f0913d1d/,57aa42a2594d9001f0913d1d,files,https://api.osf.io/v2/preprints/b7kxa/review_actions/,https://api.osf.io/v2/preprints/b7kxa/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/b7kxa/,https://osf.io/preprints/socarxiv/b7kxa/,https://doi.org/10.31235/osf.io/b7kxa,NA
uxzfn,preprints,2016-08-08T22:45:45.090000,2018-07-02T10:53:44.008342,2016-08-08T22:45:45.090000,NA,NA,Economists' Interest in Collective Decision After World War II: A History,"This paper tracks economists’ rising, yet elusive and unstable interest in
collective decision mechanism after World War II. We replace their
examination of voting procedures and social welfare functions in the 1940s
and 1950s in the context of their growing involvement with policy-making.
Confronted with natural scientists’ and McCathythes’ accusations of
ideological bias, positive studies emphasizing that collective decisions
mechanisms were unstable and inefficient, and normative impossibilities,
economists largely relied on the idea the policy ends they worked with
reflected a “social consensus.” As the latter crumbled in the 1960s,
growing disagreement erupted on how to identify and aggregate those
individual values which economists believed should guide applied work, in
particular in cost-benefit analysis. The 1970s and 1980s brought new
approaches to collective decision: Arrow’s impossibility was solved by
expanding the informational basis, it was showed that true preferences
could be revealed by making decision costly, and experimentalists and
market designers enabled these mechanisms to be tested in the lab before
being sold to those public bodies looking for decision procedures that
emulated markets. In this new regime, the focus paradoxically shifted to
coordination, revelation and efficiency, and those economists studying
collective decision processes were marginalized.",TRUE,FALSE,collective decision|economics|History of Economics|Preprint|socarxiv|social welfare fuction|voting,2018-07-02T10:53:44.001345,NA,,TRUE,accepted,2016-08-08T22:45:45.090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/uxzfn/contributors/,https://api.osf.io/v2/preprints/uxzfn/bibliographic_contributors/,https://api.osf.io/v2/preprints/uxzfn/citation/,uxzfn,preprints,https://api.osf.io/v2/preprints/uxzfn/identifiers/,https://api.osf.io/v2/nodes/cr9a8/,https://api.osf.io/v2/preprints/uxzfn/relationships/node/,cr9a8,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/uxzfn/files/,https://api.osf.io/v2/files/57cc51059ad5a101f21aa021/,57cc51059ad5a101f21aa021,files,https://api.osf.io/v2/preprints/uxzfn/review_actions/,https://api.osf.io/v2/preprints/uxzfn/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/uxzfn/,https://osf.io/preprints/socarxiv/uxzfn/,https://doi.org/10.31235/osf.io/uxzfn,NA
f8evs,preprints,2016-08-08T20:57:32.764000,2018-07-02T10:49:06.517029,2016-08-08T20:57:32.764000,NA,NA,The production of squatters as folk devils,"This article assesses recent improvements to Cohen's original
formulation of the concept of moral panic. A case study is made of a
moral panic generated in the Dutch media regarding three accusations
made by the police concerning booby traps and weapons caches in the
squats of Amsterdam. These claims, whilst shown to be fantastical in
nature, gave credence to a ideological discursive formation which
portrayed the squatters' movement as increasingly violent. Squatters
were subsequently manufactured as folk devils requiring control via
juridical repression, a process which resulted in the criminalisation of
squatting in 2010.",TRUE,FALSE,criminalisation|critical discourse analysis|folk devil|ideological discursive formation|moral panic|netherlands|Preprint|socarxiv|squatting,2018-07-02T10:49:06.506291,NA,,TRUE,accepted,2016-08-08T20:57:32.764000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/f8evs/contributors/,https://api.osf.io/v2/preprints/f8evs/bibliographic_contributors/,https://api.osf.io/v2/preprints/f8evs/citation/,f8evs,preprints,https://api.osf.io/v2/preprints/f8evs/identifiers/,https://api.osf.io/v2/nodes/khh6h/,https://api.osf.io/v2/preprints/f8evs/relationships/node/,khh6h,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/f8evs/files/,https://api.osf.io/v2/files/57a8f23e9ad5a101f1f58bda/,57a8f23e9ad5a101f1f58bda,files,https://api.osf.io/v2/preprints/f8evs/review_actions/,https://api.osf.io/v2/preprints/f8evs/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/f8evs/,https://osf.io/preprints/socarxiv/f8evs/,https://doi.org/10.31235/osf.io/f8evs,NA
z8f2v,preprints,2016-08-07T17:21:27.097000,2018-07-02T10:55:05.610729,2016-08-07T17:21:27.097000,NA,NA,'It Can't Be a Lie': The Wire as Breaching Experiment,"This is the final pre-publication chapter that Joe Soss and I published in *The
Politics of *The Wire*: Everything is Connected *(2015).
",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:55:05.602447,NA,,TRUE,accepted,2016-08-07T17:21:27.097000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/z8f2v/contributors/,https://api.osf.io/v2/preprints/z8f2v/bibliographic_contributors/,https://api.osf.io/v2/preprints/z8f2v/citation/,z8f2v,preprints,https://api.osf.io/v2/preprints/z8f2v/identifiers/,https://api.osf.io/v2/nodes/5kca8/,https://api.osf.io/v2/preprints/z8f2v/relationships/node/,5kca8,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/z8f2v/files/,https://api.osf.io/v2/files/57a76e199ad5a101f3f588e0/,57a76e199ad5a101f3f588e0,files,https://api.osf.io/v2/preprints/z8f2v/review_actions/,https://api.osf.io/v2/preprints/z8f2v/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/z8f2v/,https://osf.io/preprints/socarxiv/z8f2v/,https://doi.org/10.31235/osf.io/z8f2v,NA
3rw8e,preprints,2016-08-04T16:40:21.134000,2018-07-02T10:45:13.601590,2016-08-04T16:40:21.134000,NA,NA,Save Room for Pie: Adding Pie Charts to Network Visualizations in R with statnet and plotrix,"In typical network visualization the capacity to convey information about
any particular vertex in the graph is limited to around four dimensions.
These include manipulation of vertex size, shape, color, and labels. It is
often useful, however, to display compositional information about the
vertices on the graph that transcend that limit. In this paper, we
introduce a method to impose pie charts onto the vertices of social network
visualizations. Our code snippet is provided in the text along with two
examples: one using fractional data and another using multivariate
compositional data. Our goal with this code snippet is to introduce a
visual device to convey both relational and compositional information in
one figure.",TRUE,FALSE,network visualization|pie charts|Preprint|socarxiv|social networks|statistics,2018-07-02T10:45:13.593642,NA,,TRUE,accepted,2016-08-04T16:40:21.134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/3rw8e/contributors/,https://api.osf.io/v2/preprints/3rw8e/bibliographic_contributors/,https://api.osf.io/v2/preprints/3rw8e/citation/,3rw8e,preprints,https://api.osf.io/v2/preprints/3rw8e/identifiers/,https://api.osf.io/v2/nodes/5u59k/,https://api.osf.io/v2/preprints/3rw8e/relationships/node/,5u59k,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/3rw8e/files/,https://api.osf.io/v2/files/57a375a2b83f6901f6902473/,57a375a2b83f6901f6902473,files,https://api.osf.io/v2/preprints/3rw8e/review_actions/,https://api.osf.io/v2/preprints/3rw8e/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/3rw8e/,https://osf.io/preprints/socarxiv/3rw8e/,https://doi.org/10.31235/osf.io/3rw8e,NA
mfvu4,preprints,2016-08-04T16:30:30.274000,2018-07-02T10:51:42.442321,2016-08-04T16:30:30.274000,NA,NA,A Latex Template for SocArXiv,New version updated to 1.1 on 6-Sept-2016.,TRUE,FALSE,latex|overleaf|Preprint|socarxiv|template,2018-07-02T10:51:42.434283,NA,,TRUE,accepted,2016-08-04T16:30:30.274000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/mfvu4/contributors/,https://api.osf.io/v2/preprints/mfvu4/bibliographic_contributors/,https://api.osf.io/v2/preprints/mfvu4/citation/,mfvu4,preprints,https://api.osf.io/v2/preprints/mfvu4/identifiers/,https://api.osf.io/v2/nodes/g5hvh/,https://api.osf.io/v2/preprints/mfvu4/relationships/node/,g5hvh,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/mfvu4/files/,https://api.osf.io/v2/files/57ced7e26c613b01e21048b3/,57ced7e26c613b01e21048b3,files,https://api.osf.io/v2/preprints/mfvu4/review_actions/,https://api.osf.io/v2/preprints/mfvu4/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/mfvu4/,https://osf.io/preprints/socarxiv/mfvu4/,https://doi.org/10.31235/osf.io/mfvu4,NA
bmj6g,preprints,2016-08-03T19:50:17.412000,2019-05-09T15:12:50.750374,2016-08-03T19:50:17.412000,NA,10.1007/978-3-319-76694-2_23,School and Teacher Effects,"This chapter summarizes the extant sociological literature on the interactive nature of school and teacher effects on student learning. It explains why the most recent literature on teacher sorting demands the attention of more sociologists of education, and it demonstrates what is revealed about patterns of teacher sorting using the type of data most commonly analyzed by sociologists of education. Throughout, the chapter discusses the methodological requirements of research that can and cannot disentangle teacher effects from school effects, and it considers how teacher and school effects may be evolving in the changing landscape of K-12 education in the United States.",TRUE,FALSE,Preprint|School effects|socarxiv|Teacher effects|Teacher sorting|Value-added models,2018-07-02T10:48:25.638986,NA,,TRUE,accepted,2016-08-03T19:50:17.412000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,Springer,2019,https://api.osf.io/v2/preprints/bmj6g/contributors/,https://api.osf.io/v2/preprints/bmj6g/bibliographic_contributors/,https://api.osf.io/v2/preprints/bmj6g/citation/,bmj6g,preprints,https://api.osf.io/v2/preprints/bmj6g/identifiers/,https://api.osf.io/v2/nodes/64ddv/,https://api.osf.io/v2/preprints/bmj6g/relationships/node/,64ddv,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/bmj6g/files/,https://api.osf.io/v2/files/57a24afa9ad5a10208b8b267/,57a24afa9ad5a10208b8b267,files,https://api.osf.io/v2/preprints/bmj6g/review_actions/,https://api.osf.io/v2/preprints/bmj6g/requests/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/preprints/bmj6g/,https://osf.io/preprints/socarxiv/bmj6g/,https://doi.org/10.31235/osf.io/bmj6g,https://doi.org/10.1007/978-3-319-76694-2_23
8m2j3,preprints,2016-08-03T16:00:48.447000,2018-07-02T10:47:30.228232,2016-08-03T16:00:48.447000,NA,NA,"I Don’t Make Objects, I Make Projects: Selling Things and Selling Selves in Contemporary Artmaking","Gerber, Alison and Clayton Childress. 2017. “I Don’t Make Objects, I Make Projects: Selling Things and Selling Selves in Contemporary Artmaking.” Cultural Sociology 11(2):234–54.
",TRUE,FALSE,ASA2016|cultural sociology|economic sociology|institutional logics|Preprint|pricing|professionalization|socarxiv|valuation|visual artists,2018-07-02T10:47:30.214274,NA,,TRUE,accepted,2016-08-03T16:00:48.447000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/8m2j3/contributors/,https://api.osf.io/v2/preprints/8m2j3/bibliographic_contributors/,https://api.osf.io/v2/preprints/8m2j3/citation/,8m2j3,preprints,https://api.osf.io/v2/preprints/8m2j3/identifiers/,https://api.osf.io/v2/nodes/kx9qj/,https://api.osf.io/v2/preprints/8m2j3/relationships/node/,kx9qj,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/8m2j3/files/,https://api.osf.io/v2/files/57a21532594d900203319171/,57a21532594d900203319171,files,https://api.osf.io/v2/preprints/8m2j3/review_actions/,https://api.osf.io/v2/preprints/8m2j3/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/8m2j3/,https://osf.io/preprints/socarxiv/8m2j3/,https://doi.org/10.31235/osf.io/8m2j3,NA
k4ghw,preprints,2016-08-03T14:43:16.309000,2018-07-02T10:51:07.442980,2016-08-03T14:43:16.309000,NA,10.1086/690971,Economic Inequality and Class Consciousness,"Do contexts of greater income inequality spur the disadvantaged to achieve a class consciousness vital to contesting the fairness of the economic system and demanding more redistribution?  One prominent recent study, Newman, Johnston, and Lown (2015), argues that simple exposure to higher levels of local income inequality lead low-income people to view the United States as divided into haves and have-nots and to see themselves as among the have-nots, that is, to become more likely to achieve such a class consciousness.  Here, we show that this sanguine conclusion is at best supported only in analyses of the single survey presented in that study.  There is no evidence that higher levels of income inequality produce greater class consciousness among those with low incomes in other similar but neglected surveys.",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:51:07.432726,NA,,TRUE,accepted,2016-08-03T14:43:16.309000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,2017,https://api.osf.io/v2/preprints/k4ghw/contributors/,https://api.osf.io/v2/preprints/k4ghw/bibliographic_contributors/,https://api.osf.io/v2/preprints/k4ghw/citation/,k4ghw,preprints,https://api.osf.io/v2/preprints/k4ghw/identifiers/,https://api.osf.io/v2/nodes/gucma/,https://api.osf.io/v2/preprints/k4ghw/relationships/node/,gucma,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/k4ghw/files/,https://api.osf.io/v2/files/57a20305594d900208319139/,57a20305594d900208319139,files,https://api.osf.io/v2/preprints/k4ghw/review_actions/,https://api.osf.io/v2/preprints/k4ghw/requests/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/preprints/k4ghw/,https://osf.io/preprints/socarxiv/k4ghw/,https://doi.org/10.31235/osf.io/k4ghw,https://doi.org/10.1086/690971
