id,type,attributes.date_created,attributes.date_modified,attributes.date_published,attributes.original_publication_date,attributes.doi,attributes.title,attributes.description,attributes.is_published,attributes.is_preprint_orphan,attributes.tags,attributes.preprint_doi_created,attributes.date_withdrawn,attributes.current_user_permissions,attributes.public,attributes.reviews_state,attributes.date_last_transitioned,attributes.has_coi,attributes.conflict_of_interest_statement,attributes.has_data_links,attributes.why_no_data,attributes.data_links,attributes.has_prereg_links,attributes.why_no_prereg,attributes.prereg_links,attributes.prereg_link_info,attributes.subjects,attributes.license_record.copyright_holders,attributes.license_record.year,relationships.contributors.links.related.href,relationships.bibliographic_contributors.links.related.href,relationships.citation.links.related.href,relationships.citation.data.id,relationships.citation.data.type,relationships.identifiers.links.related.href,relationships.node.links.related.href,relationships.node.links.self.href,relationships.node.data.id,relationships.node.data.type,relationships.provider.links.related.href,relationships.provider.data.id,relationships.provider.data.type,relationships.files.links.related.href,relationships.primary_file.links.related.href,relationships.primary_file.data.id,relationships.primary_file.data.type,relationships.review_actions.links.related.href,relationships.requests.links.related.href,relationships.license.links.related.href,relationships.license.data.id,relationships.license.data.type,links.self,links.html,links.preprint_doi
jrc54,preprints,2016-07-22T00:25:25.834000,2018-07-02T10:51:06.384509,2016-07-22T00:25:25.834000,NA,NA,Trade Secret Prices &amp; High-Tech Devices: How Medical Device Manufacturers are Seeking to Sustain Profits by Propertizing Prices,"The law of trade secrets has taken a back seat to copyrights and patents in the explosion of scholarship on intellectual property issues over the last decade. While scholars concerned for the future of the public domain have argued forcefully and persuasively against the continuing expansion of rights - both in scope and duration - for holders of copyrights and patents, they have said little about the corresponding ""creep"" that has been occurring in the law of trade secrets. This article examines some of the causes and effects of that ""creep"" in the context of recent claims by the medical device manufacturer Guidant that the actual prices its hospital customers pay for implantable devices, including cardiac pacemakers and defibrillators, are protectable as trade secrets under the Uniform Trade Secrets Act (""UTSA"").

Annemarie Bridy
Professor<http://www.uidaho.edu/law/faculty/annemariebridy>|University of Idaho College of Law|PO Box 83720-0051|Boise, ID 83720|Ph. 208.364.4583
Affiliate Scholar<https://cyberlaw.stanford.edu/about/people/annemarie-bridy>|Stanford Center for Internet and Society
Affiliate Fellow<http://isp.yale.edu/people-directory?type=19>|Yale Information Society Project
SSRN<http://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=630766>|HeinOnline<http://heinonline.org/HOL/AuthorProfile?collection=journals&search_name=Bridy,%20Annemarie&base=js>|LinkedIn<https://www.linkedin.com/in/annemariebridy>|Twitter<https://twitter.com/AnnemarieBridy>",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:51:06.375878,NA,,TRUE,accepted,2016-07-22T00:25:25.834000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/jrc54/contributors/,https://api.osf.io/v2/preprints/jrc54/bibliographic_contributors/,https://api.osf.io/v2/preprints/jrc54/citation/,jrc54,preprints,https://api.osf.io/v2/preprints/jrc54/identifiers/,https://api.osf.io/v2/nodes/hcrm8/,https://api.osf.io/v2/preprints/jrc54/relationships/node/,hcrm8,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/jrc54/files/,https://api.osf.io/v2/files/579167f66c613b01eab50180/,579167f66c613b01eab50180,files,https://api.osf.io/v2/preprints/jrc54/review_actions/,https://api.osf.io/v2/preprints/jrc54/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/jrc54/,https://osf.io/preprints/socarxiv/jrc54/,https://doi.org/10.31235/osf.io/jrc54
wg2nv,preprints,2016-07-21T22:13:24.080000,2018-07-02T10:53:48.439699,2016-07-21T22:13:24.080000,NA,NA,"Ideology over Strategy: Extending Voting Rights to Felons and Ex-Felons, 1966-1992","Published as: 
Burkhardt, Brett C. 2011. “Ideology over Strategy: Extending Voting Rights to Felons and Ex-Felons, 1966–1992.” The Social Science Journal 48(2):356–63. (http://dx.doi.org/10.1016/j.soscij.2010.11.001)",TRUE,FALSE,collateral consequences|disenfranchisement|politics|Preprint|punishment|socarxiv|voting,2018-07-02T10:53:48.431254,NA,,TRUE,accepted,2016-07-21T22:13:24.080000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/wg2nv/contributors/,https://api.osf.io/v2/preprints/wg2nv/bibliographic_contributors/,https://api.osf.io/v2/preprints/wg2nv/citation/,wg2nv,preprints,https://api.osf.io/v2/preprints/wg2nv/identifiers/,https://api.osf.io/v2/nodes/khcf7/,https://api.osf.io/v2/preprints/wg2nv/relationships/node/,khcf7,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/wg2nv/files/,https://api.osf.io/v2/files/579149056c613b01ebb5016d/,579149056c613b01ebb5016d,files,https://api.osf.io/v2/preprints/wg2nv/review_actions/,https://api.osf.io/v2/preprints/wg2nv/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/wg2nv/,https://osf.io/preprints/socarxiv/wg2nv/,https://doi.org/10.31235/osf.io/wg2nv
sa9wg,preprints,2016-07-21T21:39:31.053000,2018-07-02T10:52:07.525474,2016-07-21T21:39:31.053000,NA,NA,Where Have All the (White and Hispanic) Inmates Gone? Comparing the Racial Composition of Private and Public Adult Correctional Facilities,"A great deal of research has documented racial disparities in imprisonment rates in the United States, but little work has been done to understand the process by which inmates are assigned to individual correctional facilities. This article extends research on racial disparities in imprisonment rates to consider racial disparities in inmate populations across prisons. Specifically, it examines the racial pattern of inmate placement in privately operated and publicly operated correctional facilities. Analysis of American adult correctional facilities reveals that, in 2005, white inmates were significantly underrepresented (and Hispanic inmates overrepresented) in private correctional facilities relative to public ones. Results from multilevel models show that being privately operated (as opposed to publicly operated)  decreased the white share of a facility's population by more than eight percentage points and increased the Hispanic share of a facility's population by nearly two percentage points, net of facility- and state-level controls. These findings raise legal questions about equal protection of inmates and economic questions about the reliance of private correctional firms on Hispanic inmates.",TRUE,FALSE,Preprint|private prisons|privatization|punishment|race|socarxiv,2018-07-02T10:52:07.514700,NA,,TRUE,accepted,2016-07-21T21:39:31.053000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/sa9wg/contributors/,https://api.osf.io/v2/preprints/sa9wg/bibliographic_contributors/,https://api.osf.io/v2/preprints/sa9wg/citation/,sa9wg,preprints,https://api.osf.io/v2/preprints/sa9wg/identifiers/,https://api.osf.io/v2/nodes/avhwc/,https://api.osf.io/v2/preprints/sa9wg/relationships/node/,avhwc,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/sa9wg/files/,https://api.osf.io/v2/files/579141149ad5a101fcb6eade/,579141149ad5a101fcb6eade,files,https://api.osf.io/v2/preprints/sa9wg/review_actions/,https://api.osf.io/v2/preprints/sa9wg/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/sa9wg/,https://osf.io/preprints/socarxiv/sa9wg/,https://doi.org/10.31235/osf.io/sa9wg
m7edz,preprints,2016-07-21T19:44:56.826000,2018-07-02T10:51:11.208976,2016-07-21T19:44:56.826000,NA,NA,Coaches' Justifications for Male Dominance in Coaching,Exploring perceptions of why there are so few women coaching women's or men's teams.,TRUE,FALSE,#coaching|#gender|#masculinity|#preprint|Preprint|socarxiv|#socarxiv|#sports,2018-07-02T10:51:11.201380,NA,,TRUE,accepted,2016-07-21T19:44:56.826000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/m7edz/contributors/,https://api.osf.io/v2/preprints/m7edz/bibliographic_contributors/,https://api.osf.io/v2/preprints/m7edz/citation/,m7edz,preprints,https://api.osf.io/v2/preprints/m7edz/identifiers/,https://api.osf.io/v2/nodes/cqcjw/,https://api.osf.io/v2/preprints/m7edz/relationships/node/,cqcjw,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/m7edz/files/,https://api.osf.io/v2/files/579122f0594d9001f9f41ec8/,579122f0594d9001f9f41ec8,files,https://api.osf.io/v2/preprints/m7edz/review_actions/,https://api.osf.io/v2/preprints/m7edz/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/m7edz/,https://osf.io/preprints/socarxiv/m7edz/,https://doi.org/10.31235/osf.io/m7edz
vqhez,preprints,2016-07-21T18:44:01.378000,2018-07-02T10:53:45.569312,2016-07-21T18:44:01.378000,NA,NA,"Online Platforms, Rate Parity, and the Free Riding Defence","A two-sided platform business is a new type of intermediary to be found in
a growing number of economic sectors. As to the hospitability industry in
particular, recent innovations in the field of digital technologies
prompted the rise of so called Online Travel Agents (OTAs) and the demise
of the traditional merchant model.

Recently national competition authorities (NCAs) in the EU investigated so
called rate parity clauses in the contracts between the three largest OTAs
and their hotel partners. These are contract clauses laying down the
hotelier’s obligation to display the same room prices across sales
channels. The parallel investigations conducted by the NCAs revealed an
array of anticompetitive effects stemming from rate parity obligations.
While the German NCA concluded that there was insufficient evidence of the
efficiency gains of these clauses, and therefore decided to prohibit them,
the French, Italian and Swedish NCAs implicitly recognised that some level
of protection against free-riding was necessary, and accepted commitments
to reduce the scope of the rate parity obligation.

The hotel online booking cases were closely followed in the EU and beyond,
since they could help clarify a number of key assessment issues concerning
a category of commercial practices already widely spread in online markets.
In-depth analyses of the NCAs’ findings are now needed, especially in view
of the promotion of an effective antitrust-based platform regulation. In
particular, this article explores some of the challenges related to the
application of the traditional free-riding defence to rate parity
obligations.",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:53:45.561681,NA,,TRUE,accepted,2016-07-21T18:44:01.378000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/vqhez/contributors/,https://api.osf.io/v2/preprints/vqhez/bibliographic_contributors/,https://api.osf.io/v2/preprints/vqhez/citation/,vqhez,preprints,https://api.osf.io/v2/preprints/vqhez/identifiers/,https://api.osf.io/v2/nodes/uw66h/,https://api.osf.io/v2/preprints/vqhez/relationships/node/,uw66h,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/vqhez/files/,https://api.osf.io/v2/files/579117f2594d9001fca988c9/,579117f2594d9001fca988c9,files,https://api.osf.io/v2/preprints/vqhez/review_actions/,https://api.osf.io/v2/preprints/vqhez/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/vqhez/,https://osf.io/preprints/socarxiv/vqhez/,https://doi.org/10.31235/osf.io/vqhez
s4wfr,preprints,2016-07-21T12:06:03.432000,2018-07-02T10:52:07.136767,2016-07-21T12:06:03.432000,NA,NA,An Information-Theoretic Foundation for the Weighted Updating Model,"Weighted Updating generalizes Bayesian updating, allowing for biased beliefs by weighting the likelihood function and prior distribution with positive real exponents. I provide a rigorous foundation for the model by showing that transforming a distribution by exponential weighting (and normalizing) systematically affects the information entropy of the resulting distribution. For weights greater than one the resulting distribution has less information entropy than the original distribution, and vice versa. As the entropy of a distribution measures how informative a decision maker is treating the underlying observation(s), this result suggests a useful interpretation of the weights. For example, a weight greater than one on a likelihood function models an individual who is treating the associated observation(s) as being more informative than a perfect Bayesian would.",TRUE,FALSE,Bayesian|behavioral economics|biases|Preprint|socarxiv|uncertainty,2018-07-02T10:52:07.124567,NA,,TRUE,accepted,2016-07-21T12:06:03.432000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/s4wfr/contributors/,https://api.osf.io/v2/preprints/s4wfr/bibliographic_contributors/,https://api.osf.io/v2/preprints/s4wfr/citation/,s4wfr,preprints,https://api.osf.io/v2/preprints/s4wfr/identifiers/,https://api.osf.io/v2/nodes/b4hzg/,https://api.osf.io/v2/preprints/s4wfr/relationships/node/,b4hzg,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/s4wfr/files/,https://api.osf.io/v2/files/5790baac594d9001fca9875b/,5790baac594d9001fca9875b,files,https://api.osf.io/v2/preprints/s4wfr/review_actions/,https://api.osf.io/v2/preprints/s4wfr/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/s4wfr/,https://osf.io/preprints/socarxiv/s4wfr/,https://doi.org/10.31235/osf.io/s4wfr
umdxg,preprints,2016-07-21T10:06:16.103000,2018-07-02T10:53:43.003089,2016-07-21T10:06:16.103000,NA,NA,The Foundations of Individuals' Generalized Social Trust: A Review,"This chapter reviews the literature on the causes of individuals' generalized social trust (trust in unknown others) from a wide-range of social science disciplines. We structure the review around two broad classes of explanations: dispositional explanations (trust as a disposition) and experiential explanations (trust as a response to individual experiences). Specific attention is paid to the potential for drawing causal inferences - based on quality of data, and the methods used - in the studies reviewed.",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:53:42.995889,NA,,TRUE,accepted,2016-07-21T10:06:16.103000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/umdxg/contributors/,https://api.osf.io/v2/preprints/umdxg/bibliographic_contributors/,https://api.osf.io/v2/preprints/umdxg/citation/,umdxg,preprints,https://api.osf.io/v2/preprints/umdxg/identifiers/,https://api.osf.io/v2/nodes/zq47y/,https://api.osf.io/v2/preprints/umdxg/relationships/node/,zq47y,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/umdxg/files/,https://api.osf.io/v2/files/57909e999ad5a10201000b61/,57909e999ad5a10201000b61,files,https://api.osf.io/v2/preprints/umdxg/review_actions/,https://api.osf.io/v2/preprints/umdxg/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/umdxg/,https://osf.io/preprints/socarxiv/umdxg/,https://doi.org/10.31235/osf.io/umdxg
h76zt,preprints,2016-07-20T22:50:21.658000,2018-07-02T10:49:13.288472,2016-07-20T22:50:21.658000,NA,NA,"The Social Lives of Plants, in Space","Oman-Reagan, Michael P. 2015. “The Social Lives of Plants, in Space.” Astrosociological Insights 4 (2): 4–8.",TRUE,FALSE,anthropology|anthropology of space|critical plant studies|environmental anthropology|multispecies ethnography|plants|Preprint|socarxiv,2018-07-02T10:49:13.279210,NA,,TRUE,accepted,2016-07-20T22:50:21.658000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76dfa|Social and Behavioral Sciences|Anthropology|Social and Cultural Anthropology,,2017,https://api.osf.io/v2/preprints/h76zt/contributors/,https://api.osf.io/v2/preprints/h76zt/bibliographic_contributors/,https://api.osf.io/v2/preprints/h76zt/citation/,h76zt,preprints,https://api.osf.io/v2/preprints/h76zt/identifiers/,https://api.osf.io/v2/nodes/fpaef/,https://api.osf.io/v2/preprints/h76zt/relationships/node/,fpaef,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/h76zt/files/,https://api.osf.io/v2/files/579000336c613b01f6554a4e/,579000336c613b01f6554a4e,files,https://api.osf.io/v2/preprints/h76zt/review_actions/,https://api.osf.io/v2/preprints/h76zt/requests/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/preprints/h76zt/,https://osf.io/preprints/socarxiv/h76zt/,https://doi.org/10.31235/osf.io/h76zt
r4ghb,preprints,2016-07-20T22:21:38.756000,2018-07-02T10:52:04.127707,2016-07-20T22:21:38.756000,NA,NA,Unfolding the Space Between Stars: Anthropology of the Interstellar,"In this anthropological account of the “interstellar” – the vast expanses of outer space between the stars – I take interstellar travel as an object of ethnographic study. First, I examine three interstellar space projects: NASA’s Voyager 1 spacecraft; 100 Year Starship’s manifesto on their quest to travel to another star; and SETI’s search for life in the universe. Finally, I turn to corresponding examples of interstellar travel in speculative fiction.

In 2013, NASA announced a transmission from the Voyager 1 spacecraft as the “sound of interstellar space” and marked it as crossing a boundary into the “space between stars.” Organizations like 100 Year Starship and the Interstellar Message Composition program at SETI describe interstellar travel in terms of spacecraft, listening for signals, and active transmission. Fiction and science also co-render humans into interstellar scale via speculative technologies like artificial intelligence, instantaneous travel across the universe by “folding space,” and the “generation ship,” in which generations of crewmembers live and die during a multi-year voyage to another star.

This ethnography of interstellar ontologies across multiple sites and scales builds on feminist science studies (Haraway), recent work on abstractions as scientific things (Helmreich), and the concept of hyperobjects – non-human entities that are massively distributed in time and space (Morton). As interstellar space moves between abstraction, text, place, and object, I find that it unfolds to reveal a constellation of potentially inhabited worlds inscribed by both scientists and speculative fiction; what was remote, insensate, and desolate becomes intimate, poetic, inhabited.

Keywords: Science; Speculative Fiction; Object-Oriented Ontology; Deconstruction; Space

Please cite as:
Oman-Reagan, Michael P. 2015. “Unfolding the Space Between Stars: Anthropology of the Interstellar.” SocArXiv, Open Science Framework. Manuscript, submitted February 4, 2017. osf.io/preprints/socarxiv/r4ghb/

A version of this paper was presented as:
Oman-Reagan, Michael P. 2015. Unfolding the Space Between Stars: Anthropology of the Interstellar. Paper presented at the Annual Meeting of the American Anthropological Association, Denver, November 21.",TRUE,FALSE,anthropology|anthropology of space|deconstruction|ontology|Preprint|science fiction|socarxiv|space exploration,2018-07-02T10:52:04.118234,NA,,TRUE,accepted,2016-07-20T22:21:38.756000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|5a8c80f9c698300375c76df6|5a8c80f9c698300375c76dfa|Social and Behavioral Sciences|Anthropology|Social and Cultural Anthropology,,2017,https://api.osf.io/v2/preprints/r4ghb/contributors/,https://api.osf.io/v2/preprints/r4ghb/bibliographic_contributors/,https://api.osf.io/v2/preprints/r4ghb/citation/,r4ghb,preprints,https://api.osf.io/v2/preprints/r4ghb/identifiers/,https://api.osf.io/v2/nodes/uaqmw/,https://api.osf.io/v2/preprints/r4ghb/relationships/node/,uaqmw,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/r4ghb/files/,https://api.osf.io/v2/files/578ff974b83f6901eeef1a91/,578ff974b83f6901eeef1a91,files,https://api.osf.io/v2/preprints/r4ghb/review_actions/,https://api.osf.io/v2/preprints/r4ghb/requests/,https://api.osf.io/v2/licenses/563c1cf88c5e4a3877f9e96a/,563c1cf88c5e4a3877f9e96a,licenses,https://api.osf.io/v2/preprints/r4ghb/,https://osf.io/preprints/socarxiv/r4ghb/,https://doi.org/10.31235/osf.io/r4ghb
7pzkw,preprints,2016-07-20T20:52:39.597000,2018-07-02T10:46:32.299788,2016-07-20T20:52:39.597000,NA,NA,Autonomy and Symbolic Capital in an Academic Social Movement: The March 9 Group in Egypt,"Qualities that can make activism possible under an authoritarian regime can become disadvantages when restrictions on the political field are eased. Under the Mubarak regime in Egypt, the March 9 Group for University Autonomy, a small group of academics, campaigned against the interference of the state security apparatus and the ruling party in academic affairs and campus life. This article suggests that the group’s survival in that context, and its ability to organize successful campaigns within certain limits, depended on the involvement of highly accomplished academics, some of whom are well-known outside academia, on its practice of a particular type of participatory democracy, and on its focus on institutional autonomy from the state. All these assets became liabilities following the revolutionary uprising of January 2011, and the group has to a large extent demobilized as a result.",TRUE,FALSE,Preprint|socarxiv,2018-07-02T10:46:32.291907,NA,,TRUE,accepted,2016-07-20T20:52:39.597000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a8c80f7c698300375c76d84|Social and Behavioral Sciences,,NA,https://api.osf.io/v2/preprints/7pzkw/contributors/,https://api.osf.io/v2/preprints/7pzkw/bibliographic_contributors/,https://api.osf.io/v2/preprints/7pzkw/citation/,7pzkw,preprints,https://api.osf.io/v2/preprints/7pzkw/identifiers/,https://api.osf.io/v2/nodes/3vrcr/,https://api.osf.io/v2/preprints/7pzkw/relationships/node/,3vrcr,nodes,https://api.osf.io/v2/providers/preprints/socarxiv/,socarxiv,preprint-providers,https://api.osf.io/v2/preprints/7pzkw/files/,https://api.osf.io/v2/files/578fe49c6c613b01f2554a41/,578fe49c6c613b01f2554a41,files,https://api.osf.io/v2/preprints/7pzkw/review_actions/,https://api.osf.io/v2/preprints/7pzkw/requests/,NA,NA,NA,https://api.osf.io/v2/preprints/7pzkw/,https://osf.io/preprints/socarxiv/7pzkw/,https://doi.org/10.31235/osf.io/7pzkw
